               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.035095,            0.023928,          0.00018694,             0.69172,             0.59372,             0.61883,             0.28764,             0.04458,            0.019212,          0.00019683,           0.0076679,           0.0076679,           0.0076679
                  36,            0.035184,            0.026151,          0.00024811,              0.6611,             0.57704,             0.61404,             0.28473,            0.043951,            0.018794,          0.00017376,            0.007543,            0.007543,            0.007543
                  37,            0.035323,            0.023801,           0.0001727,             0.68175,             0.57601,              0.6178,             0.29557,            0.043593,            0.018567,          0.00017076,            0.007416,            0.007416,            0.007416
                  38,            0.034614,            0.026022,          0.00016439,             0.64684,             0.63297,             0.61446,             0.28489,            0.044156,            0.018951,          0.00015206,           0.0072872,           0.0072872,           0.0072872
                  39,            0.034955,            0.027002,          0.00016692,             0.63477,             0.61402,             0.60986,             0.29549,            0.043917,            0.018787,          0.00015177,           0.0071566,           0.0071566,           0.0071566
                  40,            0.033315,            0.024909,          0.00017541,             0.70004,             0.56112,             0.62908,              0.2953,            0.043879,            0.018894,          0.00015411,           0.0070243,           0.0070243,           0.0070243
                  41,            0.033782,             0.02387,          0.00015109,             0.67233,             0.59666,             0.62232,             0.29221,            0.044044,            0.019596,          0.00016534,           0.0068906,           0.0068906,           0.0068906
                  42,            0.034122,            0.024987,          0.00017526,             0.63168,             0.62807,             0.62707,             0.30693,            0.042578,            0.019387,          0.00017263,           0.0067555,           0.0067555,           0.0067555
                  43,            0.032858,            0.024326,          0.00016079,             0.66335,             0.59961,             0.60993,             0.29151,            0.042572,            0.019443,          0.00015054,           0.0066191,           0.0066191,           0.0066191
                  44,             0.03252,            0.023042,          0.00013284,             0.72694,             0.58782,             0.63618,             0.29456,            0.042827,            0.019199,          0.00013825,           0.0064816,           0.0064816,           0.0064816
                  45,            0.031992,            0.023412,          0.00012894,             0.66585,             0.59057,             0.60216,              0.2855,            0.042954,            0.019345,          0.00014523,           0.0063432,           0.0063432,           0.0063432
                  46,              0.0326,            0.022469,          0.00014224,             0.69559,             0.58587,             0.61648,             0.29626,            0.043845,            0.019547,          0.00015118,            0.006204,            0.006204,            0.006204
                  47,            0.031357,             0.02199,          0.00014656,              0.6685,             0.59172,              0.6101,             0.28165,            0.043447,            0.019844,          0.00014171,            0.006064,            0.006064,            0.006064
                  48,            0.031992,            0.023427,          0.00012365,             0.64782,             0.61237,             0.60779,             0.29782,            0.043097,            0.019711,          0.00014884,           0.0059235,           0.0059235,           0.0059235
                  49,            0.031375,            0.024234,          0.00012443,             0.68226,              0.6111,             0.63291,             0.30106,             0.04217,            0.019484,          0.00013405,           0.0057826,           0.0057826,           0.0057826
                  50,            0.030805,            0.022636,          0.00012712,              0.6717,              0.5947,             0.61712,             0.28995,            0.043085,            0.020208,          0.00014501,           0.0056413,           0.0056413,           0.0056413
                  51,            0.030942,            0.022411,          0.00011603,             0.69173,             0.60942,             0.62353,             0.29587,             0.04356,             0.02031,          0.00013401,              0.0055,              0.0055,              0.0055
                  52,            0.030561,            0.020993,          0.00011351,             0.67616,             0.60037,             0.61208,             0.29794,            0.042691,            0.020002,          0.00012402,           0.0053587,           0.0053587,           0.0053587
                  53,            0.029792,            0.022003,          0.00011349,             0.67033,             0.60157,              0.6034,             0.28909,            0.042936,            0.020444,          0.00014182,           0.0052174,           0.0052174,           0.0052174
                  54,            0.029616,            0.022272,          0.00011093,             0.69698,             0.60157,             0.62607,             0.30094,            0.043613,            0.020369,          0.00014258,           0.0050765,           0.0050765,           0.0050765
                  55,            0.030026,            0.022335,          0.00010033,             0.74243,             0.55741,             0.62602,             0.30701,            0.043913,            0.020517,          0.00016677,            0.004936,            0.004936,            0.004936
                  56,            0.029877,            0.022824,           0.0001107,             0.69343,             0.59078,             0.61655,              0.2895,            0.044201,            0.020369,          0.00014685,            0.004796,            0.004796,            0.004796
                  57,            0.028996,            0.021403,            9.51e-05,             0.65079,             0.60746,              0.6109,             0.29679,            0.043616,            0.020134,          0.00012438,           0.0046568,           0.0046568,           0.0046568
                  58,            0.028093,             0.02151,          8.5209e-05,             0.68399,             0.61629,             0.63088,             0.30031,            0.043562,            0.020402,           0.0001132,           0.0045184,           0.0045184,           0.0045184
                  59,            0.028209,            0.021165,          8.8066e-05,             0.66375,             0.59666,             0.59105,             0.28555,            0.044575,            0.021224,          0.00015062,           0.0043809,           0.0043809,           0.0043809
                  60,            0.028001,            0.021374,           0.0001054,              0.6773,             0.59764,             0.60791,             0.29447,            0.043481,            0.021313,          0.00019841,           0.0042445,           0.0042445,           0.0042445
                  61,            0.027579,            0.021297,          9.1274e-05,             0.67783,             0.63297,             0.61762,             0.30635,            0.043812,            0.020345,          0.00013123,           0.0041094,           0.0041094,           0.0041094
                  62,            0.027461,            0.020813,          8.5921e-05,             0.65625,             0.64074,             0.62225,               0.309,            0.044221,            0.020556,          0.00013516,           0.0039757,           0.0039757,           0.0039757
                  63,            0.027376,            0.020283,          7.4817e-05,             0.68268,             0.62512,             0.62312,             0.30768,            0.043311,            0.020424,          0.00011928,           0.0038434,           0.0038434,           0.0038434
                  64,            0.027704,            0.020705,          7.7691e-05,             0.68562,             0.61425,             0.62264,             0.30805,            0.043136,            0.021263,            0.000125,           0.0037128,           0.0037128,           0.0037128
                  65,            0.027582,            0.023298,          8.8047e-05,             0.67637,             0.62218,             0.60725,             0.29503,            0.043851,            0.021332,          0.00015281,            0.003584,            0.003584,            0.003584
                  66,            0.026899,            0.020209,          7.4852e-05,              0.6697,             0.61727,             0.62559,             0.30248,            0.043507,            0.020911,          0.00014984,            0.003457,            0.003457,            0.003457
                  67,            0.026246,            0.019595,          7.1726e-05,             0.63846,              0.6516,             0.63129,             0.30233,            0.043286,            0.021014,          0.00013824,           0.0033321,           0.0033321,           0.0033321
                  68,            0.025758,            0.020016,           7.246e-05,             0.69025,             0.60648,             0.60146,             0.29739,            0.043503,            0.021552,          0.00013159,           0.0032093,           0.0032093,           0.0032093
                  69,            0.025497,            0.019677,          6.9216e-05,             0.70271,             0.60353,             0.59499,             0.29749,            0.043669,            0.021246,          0.00012134,           0.0030888,           0.0030888,           0.0030888
                  70,            0.025404,             0.01997,          6.6736e-05,             0.69772,             0.59372,             0.59972,             0.30344,            0.043533,            0.021711,          0.00010861,           0.0029706,           0.0029706,           0.0029706
                  71,            0.025327,            0.019775,          5.7725e-05,             0.69938,             0.60746,             0.60775,             0.30367,            0.043883,            0.021808,          0.00010572,            0.002855,            0.002855,            0.002855
                  72,            0.025461,            0.019828,          6.0577e-05,             0.67335,             0.63199,             0.61464,             0.29921,            0.044279,            0.022433,          0.00015438,           0.0027419,           0.0027419,           0.0027419
                  73,            0.025001,            0.019713,          5.8585e-05,             0.69529,             0.58668,             0.59193,             0.29283,            0.043895,            0.022208,          0.00011581,           0.0026316,           0.0026316,           0.0026316
                  74,            0.024366,            0.019431,          5.4589e-05,             0.70591,             0.60539,             0.61687,             0.30568,            0.043613,            0.022668,          0.00015152,           0.0025241,           0.0025241,           0.0025241
                  75,             0.02436,             0.01814,          5.5871e-05,             0.70681,             0.61038,             0.61241,              0.3088,            0.044341,            0.022718,          0.00013205,           0.0024195,           0.0024195,           0.0024195
                  76,            0.024087,            0.019436,          5.6073e-05,             0.67728,             0.62198,               0.608,             0.30021,            0.044385,            0.022831,          0.00013615,            0.002318,            0.002318,            0.002318
                  77,            0.023744,            0.018542,          5.9453e-05,             0.64812,             0.63199,             0.59449,             0.29366,            0.044048,            0.022417,          0.00011595,           0.0022196,           0.0022196,           0.0022196
                  78,            0.023643,             0.01808,          5.8698e-05,             0.67268,              0.6212,             0.61197,             0.30552,            0.044283,            0.022625,          0.00013594,           0.0021245,           0.0021245,           0.0021245
                  79,             0.02344,            0.017626,          5.1363e-05,             0.68532,             0.62218,             0.61405,              0.3044,            0.043918,            0.022345,          0.00012204,           0.0020327,           0.0020327,           0.0020327
                  80,             0.02381,            0.018591,          4.9732e-05,             0.70033,              0.6104,             0.60937,             0.29908,            0.044205,            0.023136,          0.00013236,           0.0019443,           0.0019443,           0.0019443
                  81,            0.022963,             0.01948,          4.9436e-05,             0.69454,             0.60942,             0.60607,             0.29409,            0.044243,            0.022426,          0.00012984,           0.0018594,           0.0018594,           0.0018594
                  82,            0.022951,            0.018827,          4.5728e-05,             0.67216,             0.63379,             0.61598,             0.30134,            0.044065,            0.022673,          0.00012194,           0.0017781,           0.0017781,           0.0017781
                  83,             0.02281,            0.019031,          5.3244e-05,             0.70586,             0.60059,             0.60701,             0.29415,            0.044983,            0.022972,          0.00015747,           0.0017005,           0.0017005,           0.0017005
                  84,            0.022645,            0.018183,          4.3117e-05,             0.69287,             0.61629,             0.60846,              0.3016,             0.04462,            0.022882,          0.00013411,           0.0016267,           0.0016267,           0.0016267
                  85,             0.02244,            0.016771,          4.8254e-05,               0.711,             0.60648,             0.62363,             0.30801,            0.044475,            0.022679,          0.00012327,           0.0015566,           0.0015566,           0.0015566
