               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.039698,            0.026714,          0.00015431,             0.58125,             0.60255,             0.59449,             0.26605,            0.043781,             0.01834,          0.00015668,           0.0076679,           0.0076679,           0.0076679
                  36,             0.03941,            0.028777,          0.00016398,             0.67032,             0.56919,             0.60032,             0.27075,            0.044057,            0.018747,           0.0001317,            0.007543,            0.007543,            0.007543
                  37,            0.039359,            0.026646,          0.00015145,             0.63288,             0.61579,             0.61409,             0.26918,            0.043544,            0.018035,          0.00014391,            0.007416,            0.007416,            0.007416
                  38,            0.039388,            0.028448,          0.00016431,             0.69407,             0.57802,              0.6145,             0.27604,            0.043695,            0.018482,          0.00014631,           0.0072872,           0.0072872,           0.0072872
                  39,            0.039304,            0.029983,          0.00014404,             0.59731,             0.62414,             0.60257,              0.2702,            0.043616,            0.018598,          0.00012185,           0.0071566,           0.0071566,           0.0071566
                  40,            0.038784,            0.028311,            0.000177,             0.62733,             0.58979,             0.59374,             0.27043,            0.044032,              0.0187,           0.0001585,           0.0070243,           0.0070243,           0.0070243
                  41,            0.038334,            0.027104,           0.0001624,             0.62332,             0.60248,             0.59523,             0.26174,            0.044363,            0.018558,           0.0001227,           0.0068906,           0.0068906,           0.0068906
                  42,            0.038729,            0.027748,          0.00015989,              0.6038,             0.61319,             0.59238,             0.27666,            0.044049,            0.018592,          0.00012951,           0.0067555,           0.0067555,           0.0067555
                  43,            0.037786,            0.028059,          0.00012621,             0.61745,             0.60059,             0.60453,             0.27242,            0.043901,             0.01884,          0.00011588,           0.0066191,           0.0066191,           0.0066191
                  44,            0.037498,            0.026201,          0.00011278,             0.60274,             0.59568,             0.58652,              0.2723,            0.044241,            0.019018,          0.00012192,           0.0064816,           0.0064816,           0.0064816
                  45,             0.03713,            0.026554,          0.00012877,             0.63184,             0.57017,              0.5886,             0.27023,            0.044251,            0.018902,          0.00013525,           0.0063432,           0.0063432,           0.0063432
                  46,             0.03772,            0.025726,          0.00014314,             0.62044,             0.61138,             0.60202,             0.28443,            0.043854,            0.018858,          0.00012008,            0.006204,            0.006204,            0.006204
                  47,            0.036909,            0.025383,          0.00011234,             0.60938,             0.58979,             0.57972,             0.26465,            0.044427,            0.019359,          0.00012434,            0.006064,            0.006064,            0.006064
                  48,            0.037506,            0.026911,          0.00010919,             0.62343,             0.58164,              0.5814,              0.2677,            0.043569,            0.018503,          0.00010783,           0.0059235,           0.0059235,           0.0059235
                  49,            0.036534,            0.027467,          0.00010251,             0.64654,             0.58878,             0.58559,             0.27556,            0.043411,            0.018735,          0.00010402,           0.0057826,           0.0057826,           0.0057826
                  50,            0.036072,            0.025706,          9.9691e-05,             0.64156,             0.60451,              0.6187,             0.29143,            0.043665,            0.019257,          0.00011746,           0.0056413,           0.0056413,           0.0056413
                  51,            0.035595,            0.025874,          0.00011554,             0.68402,             0.56526,             0.60396,             0.28036,            0.044933,            0.019415,          0.00010159,              0.0055,              0.0055,              0.0055
                  52,            0.035862,            0.024007,          9.1805e-05,             0.66019,             0.56818,             0.59307,             0.27889,            0.044552,            0.019165,          0.00010347,           0.0053587,           0.0053587,           0.0053587
                  53,            0.035316,            0.025067,          0.00010255,             0.60863,               0.579,             0.58555,             0.27289,            0.043389,            0.019229,          0.00010189,           0.0052174,           0.0052174,           0.0052174
                  54,            0.035746,            0.026557,          0.00010112,             0.64592,             0.61138,             0.60413,             0.28672,            0.043896,            0.018929,          0.00010211,           0.0050765,           0.0050765,           0.0050765
                  55,            0.035124,            0.025771,            9.32e-05,             0.60386,             0.60059,             0.56989,             0.27248,            0.044384,            0.019384,          0.00010101,            0.004936,            0.004936,            0.004936
                  56,            0.034932,            0.026028,          9.1996e-05,              0.6651,             0.60255,             0.61945,             0.29378,            0.043941,            0.019205,          9.9229e-05,            0.004796,            0.004796,            0.004796
                  57,            0.034729,            0.024988,          8.5457e-05,             0.64783,             0.62022,              0.6021,             0.28346,            0.043921,            0.018861,          9.2674e-05,           0.0046568,           0.0046568,           0.0046568
                  58,            0.034334,            0.024781,          9.4798e-05,             0.65686,             0.58685,             0.58399,             0.28437,            0.044147,            0.019762,          0.00010039,           0.0045184,           0.0045184,           0.0045184
                  59,             0.03434,             0.02519,          8.1369e-05,             0.65547,             0.59559,              0.6095,             0.28781,            0.043878,            0.019071,           8.898e-05,           0.0043809,           0.0043809,           0.0043809
                  60,            0.034045,            0.025134,          8.2661e-05,             0.64084,             0.59358,             0.59154,             0.27922,            0.044647,            0.019531,          9.5143e-05,           0.0042445,           0.0042445,           0.0042445
                  61,            0.033698,            0.025017,          7.3995e-05,             0.63313,             0.62512,             0.61061,             0.27639,             0.04398,            0.019365,          8.1521e-05,           0.0041094,           0.0041094,           0.0041094
                  62,             0.03359,            0.024773,          7.1106e-05,             0.60495,             0.61335,             0.57905,             0.27228,            0.043003,            0.019522,          8.2298e-05,           0.0039757,           0.0039757,           0.0039757
                  63,            0.032938,             0.02392,            7.02e-05,             0.62006,             0.63788,             0.61124,             0.29468,            0.043589,            0.019104,          8.4198e-05,           0.0038434,           0.0038434,           0.0038434
                  64,             0.03319,            0.024614,          7.7893e-05,              0.6773,             0.56526,             0.60443,             0.29193,            0.043371,            0.019563,          8.4397e-05,           0.0037128,           0.0037128,           0.0037128
                  65,            0.033995,            0.028157,          6.9047e-05,              0.6661,             0.58391,             0.59764,             0.28073,            0.043267,            0.019469,          7.8414e-05,            0.003584,            0.003584,            0.003584
                  66,            0.032862,            0.024071,          6.7535e-05,             0.63363,             0.61779,              0.6163,             0.29144,            0.043118,            0.019141,           8.164e-05,            0.003457,            0.003457,            0.003457
                  67,            0.032257,            0.023491,          6.1677e-05,             0.67164,             0.61624,             0.62006,             0.30021,            0.043434,            0.019157,          7.8354e-05,           0.0033321,           0.0033321,           0.0033321
                  68,            0.032145,            0.024169,          6.2898e-05,             0.64299,             0.59666,             0.60523,             0.29432,            0.043322,            0.019705,          8.1356e-05,           0.0032093,           0.0032093,           0.0032093
                  69,            0.032347,            0.023585,          6.5928e-05,             0.63046,             0.63494,             0.62096,             0.30131,            0.043359,             0.01944,          8.0904e-05,           0.0030888,           0.0030888,           0.0030888
                  70,            0.032458,            0.024054,          6.5571e-05,             0.63723,             0.61368,             0.59569,              0.2832,            0.044006,            0.019551,          7.2932e-05,           0.0029706,           0.0029706,           0.0029706
                  71,            0.031877,            0.024078,          5.5629e-05,             0.62422,             0.61132,             0.60847,             0.28635,            0.043787,            0.019367,          6.5986e-05,            0.002855,            0.002855,            0.002855
                  72,            0.031953,            0.023761,          5.5281e-05,             0.63159,             0.63494,             0.61574,             0.29778,            0.043235,            0.019731,          7.3313e-05,           0.0027419,           0.0027419,           0.0027419
                  73,            0.031806,            0.024072,          5.5982e-05,             0.66017,              0.6104,             0.60657,             0.28993,            0.043902,            0.019832,          7.5507e-05,           0.0026316,           0.0026316,           0.0026316
                  74,            0.031272,            0.023737,          5.8213e-05,             0.65895,             0.60255,             0.60999,             0.29214,            0.043799,            0.019624,           8.063e-05,           0.0025241,           0.0025241,           0.0025241
                  75,            0.031188,            0.022441,          5.2382e-05,             0.66323,             0.60746,             0.61027,             0.30082,            0.044114,             0.01974,          7.0458e-05,           0.0024195,           0.0024195,           0.0024195
                  76,            0.031066,            0.024009,          5.4356e-05,             0.62205,             0.63494,             0.60803,             0.29814,            0.044079,            0.019868,          7.2292e-05,            0.002318,            0.002318,            0.002318
                  77,            0.030758,            0.022709,          5.1302e-05,             0.64339,             0.60728,              0.6024,             0.29043,            0.044194,            0.020013,          7.2436e-05,           0.0022196,           0.0022196,           0.0022196
                  78,            0.030233,            0.022066,          4.7096e-05,             0.63879,             0.59568,             0.59672,             0.28625,            0.044048,            0.020458,          7.2241e-05,           0.0021245,           0.0021245,           0.0021245
                  79,            0.030749,            0.022196,          4.8362e-05,             0.59396,             0.62512,              0.5879,             0.28877,            0.044338,            0.020373,          7.1965e-05,           0.0020327,           0.0020327,           0.0020327
                  80,            0.030413,             0.02296,          4.7868e-05,             0.68573,             0.58685,             0.61859,              0.3027,            0.044146,            0.020479,          7.2083e-05,           0.0019443,           0.0019443,           0.0019443
                  81,            0.030384,             0.02429,          4.5058e-05,             0.66908,             0.58489,             0.59189,             0.29268,            0.043789,            0.019857,          6.3352e-05,           0.0018594,           0.0018594,           0.0018594
                  82,            0.029716,            0.023138,           4.321e-05,             0.69027,             0.60059,             0.62328,              0.3044,            0.043674,            0.020004,          6.0378e-05,           0.0017781,           0.0017781,           0.0017781
                  83,            0.030026,            0.023421,          4.7333e-05,             0.64591,             0.61237,             0.60034,             0.29341,            0.044387,            0.020033,          6.0578e-05,           0.0017005,           0.0017005,           0.0017005
                  84,            0.029913,            0.022355,          4.1475e-05,             0.63394,             0.62218,             0.60248,             0.29484,            0.044083,            0.020233,          5.8444e-05,           0.0016267,           0.0016267,           0.0016267
                  85,            0.029241,            0.021078,            4.27e-05,             0.65757,             0.64261,             0.62417,             0.30223,            0.043505,            0.019926,          5.5984e-05,           0.0015566,           0.0015566,           0.0015566
                  86,            0.029768,            0.023468,          4.0896e-05,             0.65358,              0.6261,             0.61759,             0.30496,            0.044044,            0.020027,          6.0807e-05,           0.0014905,           0.0014905,           0.0014905
                  87,            0.029022,            0.022019,          3.9912e-05,               0.651,             0.62604,             0.61116,             0.30103,            0.043969,            0.020215,          5.8038e-05,           0.0014283,           0.0014283,           0.0014283
                  88,            0.029317,            0.022041,          4.0125e-05,              0.6688,             0.60255,             0.60949,             0.29524,            0.043651,            0.020348,          5.5565e-05,           0.0013701,           0.0013701,           0.0013701
                  89,             0.02865,            0.022145,           3.722e-05,             0.67552,             0.61903,             0.61754,             0.30301,            0.043882,             0.02035,          5.8869e-05,            0.001316,            0.001316,            0.001316
                  90,            0.028892,            0.021058,          3.8308e-05,             0.67582,             0.59534,             0.60608,             0.29754,            0.043954,            0.020103,           5.642e-05,            0.001266,            0.001266,            0.001266
                  91,            0.029033,            0.020878,          3.8469e-05,             0.67657,             0.60059,              0.6067,             0.29773,             0.04415,            0.020125,          5.9234e-05,           0.0012202,           0.0012202,           0.0012202
                  92,            0.029411,            0.022694,          3.9468e-05,             0.68825,             0.60451,             0.61337,             0.30091,            0.043455,            0.020068,          5.6061e-05,           0.0011787,           0.0011787,           0.0011787
                  93,            0.028502,            0.024373,          3.9445e-05,             0.70658,             0.60059,             0.62315,             0.30276,            0.043566,            0.020278,          5.7326e-05,           0.0011414,           0.0011414,           0.0011414
                  94,             0.02884,            0.021091,          4.0977e-05,             0.69813,             0.58783,             0.60163,              0.2926,            0.044105,            0.020256,          5.7515e-05,           0.0011084,           0.0011084,           0.0011084
                  95,            0.028613,            0.022114,           3.798e-05,             0.66616,             0.60746,             0.60713,             0.29243,            0.043934,            0.020301,          5.9243e-05,           0.0010797,           0.0010797,           0.0010797
                  96,            0.028829,            0.021542,          3.9085e-05,             0.67878,             0.60255,             0.61587,             0.30256,            0.044217,            0.020435,          5.8171e-05,           0.0010554,           0.0010554,           0.0010554
                  97,            0.028158,            0.021808,          3.6801e-05,             0.66424,             0.61433,             0.61326,             0.29781,            0.043819,            0.020579,          5.8318e-05,           0.0010355,           0.0010355,           0.0010355
                  98,            0.028091,            0.021003,          3.4952e-05,             0.65993,             0.61138,             0.61038,             0.30357,            0.044322,            0.020803,          6.2968e-05,             0.00102,             0.00102,             0.00102
                  99,            0.027965,            0.020904,          4.3205e-05,              0.6346,             0.62512,             0.61105,             0.30039,            0.044086,            0.020823,          6.2164e-05,           0.0010089,           0.0010089,           0.0010089
